<unk>	UNKNOWN
Después, en casa, se duerme en la cama.	DESPUÉS TOCA CASA,  CAMA DORMIR.
De madrugada, se levanta a beber agua, pero la mayor parte de la noche se la pasa durmiendo.	MUCHAS-VECES MADRUGADA IR AGUA BEBER, NORMAL DÍA POR-LA-NOCHE COMPLETO DORMIR.
Muchas veces, de madrugada, va a beber agua, normalmente duerme toda la noche.	MUCHAS-VECES MADRUGADA IR AGUA BEBER, NORMAL DÍA POR-LA-NOCHE COMPLETO DORMIR.
Actualmente la población mundial crece a un ritmo lo suficientemente acelerado, rápido y vertiginoso como para temer consecuencias catastróficas.	AHORA-MISMO PERSONA+ MUNDO CRECER VELOZ, RÁPIDO, BURRADA, PODER FUTURO PROBLEMA+.
En la actualidad la población del mundo crece velozmente, rápidamente, una burrada, puede haber problemas en el futuro.	AHORA-MISMO PERSONA+ MUNDO CRECER VELOZ, RÁPIDO, BURRADA, PODER FUTURO PROBLEMA+.
Las Naciones Unidas predicen que en el año 2050 el planeta acogerá a 8.900 millones de personas, aunque la cifra podría llegar a los 10.700 millones.	AHORA-MISMO \dl{ONU} DECIR 2050 MUNDO TOTAL PERSONA+ 8900000000 PERSONA+, PERO CAPAZ MÁXIMO 10700000000 PERSONA+ VIVIR MUNDO.
En la actualidad la ONU dice que en el 2.050, en el mundo habrá un total de 8.900 millones de personas, pero que se puede llegar a un máximo de 10.700 millones de habitantes del mundo.	AHORA-MISMO \dl{ONU} DECIR 2050 MUNDO TOTAL PERSONA+ 8900000000 PERSONA+, PERO CAPAZ MÁXIMO 10700000000 PERSONA+ VIVIR MUNDO.
A pesar de todo, hay que decir que, en general, las mujeres están teniendo menos hijos que nunca	PODER DECIR EN-GENERAL MUJER+ HIJO MUY-POCO, ANTES MÁS.
En general, se puede decir que las mujeres están teniendo muy pocos hijos, antes tenían más.	PODER DECIR EN-GENERAL MUJER+ HIJO MUY-POCO, ANTES MÁS.
y que el crecimiento de la población está siendo más lento, pausado y menor de lo que se esperaba.	PERSONA CRECER LENTO, TRANQUILO, DESACELERADO.
La población crece lentamente, tranquilamente, de manera desacelerada.	PERSONA CRECER LENTO, TRANQUILO, DESACELERADO.
Esto puede deberse a que las políticas de control de nacimientos han reducido la natalidad más de lo que se esperaba	ESO MOTIVO POLÍTICA CONTROL NACIMIENTO++ INTENTAR EVITAR, NACIMIENTO++ NO, EVITAR MÁS INTENTAR.
Eso es por la política de control de nacimientos que intenta evitar los nacimientos.	ESO MOTIVO POLÍTICA CONTROL NACIMIENTO++ INTENTAR EVITAR, NACIMIENTO++ NO, EVITAR MÁS INTENTAR.
y a que las muertes debido al SIDA también han sido mayores de lo esperado.	ADEMÁS PERSONA+ MUERTO+ MOTIVO SIDA MÁS CRECER.
Además las personas muertas por el SIDA han crecido más.	ADEMÁS PERSONA+ MUERTO+ MOTIVO SIDA MÁS CRECER.
Hasta el año 2020, el crecimiento de la población mundial será de 64 millones de personas al año	HASTA TOCA AÑO 2020 CRECER EN-TOTAL EN-UN-AÑO 64000000 PERSONA+ EN-UN-AÑO.
Hasta el año 2020 crecerá en un año, en total, 64 millones de personas al año.	HASTA TOCA AÑO 2020 CRECER EN-TOTAL EN-UN-AÑO 64000000 PERSONA+ EN-UN-AÑO.
En la actualidad la cifra está en torno a los 78 millones.	EN-ESTE-MOMENTO, AHORA-MISMO, NÚMERO CIFRA 78000000 PERSONA+ EN-UN-AÑO.
En este momento, en la actualidad, la cifra es de 78 millones de personas en un año.	EN-ESTE-MOMENTO, AHORA-MISMO, NÚMERO CIFRA 78000000 PERSONA+ EN-UN-AÑO.
En el año 2050 se estima que la población crecerá en 33 millones de personas por año.	TOCA AÑO 2050, MÁS-O-MENOS+, ESTIMAR, MÁS-O-MENOS,33000000 PERSONA+ EN-UN-AÑO.
En el año 2050, más o menos, se estima 33 millones de personas en un año.	TOCA AÑO 2050, MÁS-O-MENOS+, ESTIMAR, MÁS-O-MENOS, 33000000 PERSONA+ EN-UN-AÑO.
En definitiva, se prevé que la población no crecerá tanto como estaba previsto en un principio.	EN-RESUMEN, MÁS-O-MENOS+, PERSONA+ CRECER NO. AL-PRINCIPIO PENSAR CRECER++, AHORA VER LENTO MENOS++.
En resumen, más o menos, la población crece exageradamente. Al principio se pensaba en un crecimiento exagerado, ahora se ve que es lento, que es menor.	EN-RESUMEN, MÁS-O-MENOS+, PERSONA+ CRECER NO. AL-PRINCIPIO PENSAR \cl{crecer cada vez más y muy rápidamente}, AHORA VER LENTO MENOS++.
Las tasas más altas de crecimiento de la población corresponden a los países más pobres, deprimidos y subdesarrollados.	MÁS-O-MENOS EN-TOTAL NÚMERO CIFRA PERSONA+ NORMALMENTE PAÍS++ QUIÉN?, PAÍS+ POBRE, DESARROLLO NO-HAY, PAÍS+ DEPRIMIDO.
Más o menos, en total, la cifra de personas normalmente se da en los países pobres, subdesarrollados, deprimidos.	MÁS-O-MENOS EN-TOTAL NÚMERO CIFRA PERSONA+ NORMALMENTE PAÍS++ QUIÉN?, PAÍS+ POBRE, DESARROLLO NO-HAY, PAÍS+ DEPRIMIDO.
Por contraste, en 61 países, donde reside casi la mitad de la población mundial, las parejas están teniendo menos de 2 hijos por mujer, cantidad necesaria para que haya un reemplazamiento generacional.	EN-CAMBIO, COMPARACIÓN+, 61 PAÍS++ CASI DENTRO VIVIR PERSONA MITAD PERSONA+ VIVIR MUNDO,PAREJA+ NORMALMENTE, HIJO 2 NO, MENOS. UN MUJER SABER 2 HIJOS DEBER PARA EVOLUCIÓN CONTINUAR+ DEBER.
En cambio, en comparación, en 61 países donde viven casi la mitad de las personas del mundo, las parejas normalmente tienen menos de dos hijos. Se sabe que una mujer debe tener dos hijos para que la evolución continúe.	EN-CAMBIO, COMPARACIÓN+, 61 PAÍS++ CASI DENTRO VIVIR PERSONA MITAD PERSONA+ VIVIR MUNDO,PAREJA+ NORMALMENTE, HIJO 2 NO, MENOS. UN MUJER SABER 2 HIJOS DEBER PARA EVOLUCIÓN CONTINUAR+ DEBER.
En América del Norte, Japón y Europa, el crecimiento de la población prácticamente se ha detenido.	EJEMPLO AMÉRICA NORTE, JAPÓN, TAMBIÉN EUROPA PERSONA+ CRECER NO, DETENER, PARAR.
Por ejemplo, en América del Norte, Japón y Europa el crecimiento de la población no es exagerado, se ha parado, se ha detenido.	EJEMPLO AMÉRICA NORTE, JAPÓN, TAMBIÉN EUROPA PERSONA+ CRECER NO, DETENER, PARAR.
Cada mujer de los países de la Unión Europea tiene 1 hijos.	UN MUJER PAÍS+ UNIÓN EUROPEA EN-TOTAL HIJO 1 HIJO UN MUJER.
En los países de la Unión Europea, en total, cada mujer tiene 1 hijos.	UN MUJER PAÍS+ UNIÓN EUROPEA EN-TOTAL HIJO 1 HIJO UN MUJER.
España está a la cabeza de los países con la tasa de fecundidad más baja, con un promedio de 1 hijo por mujer.	ESPAÑA, PAÍS ESPAÑA, PRIMERO NACIMIENTO++ MUY-POCO+, MÁS-O-MENOS, 1 HIJO UN MUJER.
España es el primer país en baja tasa de natalidad, más o menos, 1 hijo por mujer.	ESPAÑA, PAÍS ESPAÑA, PRIMERO NACIMIENTO++ MUY-POCO+, MÁS-O-MENOS, 1 HIJO UN MUJER.
En España las tasas de natalidad están descendiendo desde hace 20 años, circunstancia que no se ha dado en ningún otro país de Europa.	ESPAÑA EN-TOTAL NACIMIENTO++ EN-UN-AÑO DESDE-TIEMPO-HASTA-AHORA 2 0 AÑO DESCENDER, IGUAL PAÍS OTRO PAÍS EUROPA NO-HAY, ÚNICO ESPAÑA.
En España la tasa anual de natalidad desde hace 20 años hasta ahora ha descendido, no hay otro país así en toda Europa, el único es España.	ESPAÑA EN-TOTAL NACIMIENTO++ EN-UN-AÑO DESDE-TIEMPO-HASTA-AHORA 2 0 AÑO DESCENDER, IGUAL PAÍS OTRO PAÍS EUROPA NO-HAY, ÚNICO ESPAÑA.
Italia y Japón son los países que tienen la población más anciana, pero en el 2050 está previsto que este puesto lo ocupe España.	ITALIA, JAPÓN, ESOS PAÍS+ AHORA-MISMO EDAD TERCERA MÁS, PERO TOCA 2 0 5 0 QUIÉN? CABEZA, PRIMERO, QUIÉN?, ESPAÑA.
En la actualidad Italia y Japón tienen más personas de la tercera edad, pero cuando llegue el 2050 España será el primero, estará a la cabeza.	ITALIA, JAPÓN, ESOS PAÍS+ AHORA-MISMO EDAD TERCERA MÁS, PERO TOCA 2 0 5 0 QUIÉN? CABEZA, PRIMERO, QUIÉN?, ESPAÑA.
Las razones por las que las españolas tienen tan pocos hijos parecen ser:	MOTIVO PORQUE MUJER+ HIJO POCO MOTIVO?:
Los motivos porque las mujeres tienen tan pocos hijos son:	MOTIVO PORQUE MUJER+ HIJO POCO MOTIVO?:
El descenso en el número de casamientos.	AHORA-MISMO CASAMIENTO++ REDUCIR.
En la actualidad se han reducido los casamientos.	AHORA-MISMO CASAMIENTO++ REDUCIR.
A pesar de que ha aumentado el número de personas que conviven juntas sin estar casadas, no nacen apenas niños de estas parejas.	APARTE HAY PAREJA-DE-HECHO CRECER, NO-HACER-FALTA CASAR NO-HACER-FALTA, PERO PAREJA-DE-HECHO NO-HAY HIJO, NO-HAY.
Por otra parte, las parejas de hecho han crecido, no hace falta casarse, pero las parejas de hecho no tienen hijos.	APARTE HAY PAREJA-DE-HECHO CRECER, NO-HACER-FALTA CASAR NO-HACER-FALTA, PERO PAREJA-DE-HECHO NO-HAY HIJO, NO-HAY.
Las cifras de paro.	ADEMÁS PROBLEMA ESTADÍSTICA PARO.
Además el problema de las estadísticas de paro.	ADEMÁS PROBLEMA ESTADÍSTICA PARO.
En España se da una de las tasas de desempleo entre los jóvenes más altas de Europa y aquellos que consiguen un trabajo éste suele ser precario, inestable y mal pagado.	ESPAÑA PROBLEMA PARO JOVEN, PERO EUROPA PRIMERO PARO JOVEN QUIÉN? EUROPA, ADEMÁS PERSONA+ JOVEN ENCONTRAR TRABAJO PROBLEMA MOTIVO TRABAJO PRECARIO, MÁS TEMPORAL TRABAJO, DINERO GRAN-SUELDO NO, SUELDO-BAJO.
En España el problema del paro juvenil es el más alto de Europa, además, los jóvenes que encuentran trabajo tienen el problema de que éste es precario, temporal y con bajo sueldo.	ESPAÑA PROBLEMA PARO JOVEN, PERO EUROPA PRIMERO PARO JOVEN QUIÉN? EUROPA, ADEMÁS PERSONA+ JOVEN ENCONTRAR TRABAJO PROBLEMA MOTIVO TRABAJO PRECARIO, MÁS TEMPORAL TRABAJO, DINERO GRAN-SUELDO NO, SUELDO-BAJO.
El desempleo afecta más a las mujeres.	PROBLEMA TRABAJO MUJER PARO MÁS MUJER.
El problema del trabajo femenino, hay más paro en la mujer.	PROBLEMA TRABAJO MUJER PARO MÁS MUJER.
El empresario tiene miedo a que las mujeres se queden embarazadas	PERSONA EMPRESA PROPIETARIO MIEDO MOTIVO MUJER EMBARAZO,
y tengan que pedir permiso de maternidad.	ADEMÁS SABER DESPUÉS DEBER PEDIR PARA EMBARAZO CUIDAR POR-ESO PROBLEMA.
además saben que después deben pedir la baja maternal por eso es un problema.	ADEMÁS SABER DESPUÉS DEBER PEDIR PARA EMBARAZO CUIDAR POR-ESO PROBLEMA.
Por ello, muchas mujeres renuncian a tener hijos.	MOTIVO MUCHAS-VECES MUJER DECIR HIJO EMBARAZO NACIMIENTO NADA, RECHAZAR.
Por ello, muchas veces las mujeres dicen no tener hijos, lo rechazan.	MOTIVO MUCHAS-VECES MUJER DECIR HIJO EMBARAZO NACIMIENTO NADA, RECHAZAR.
El coste de los hijos es muy alto. Para mantener un nivel de consumo determinado es necesario que trabajen los dos miembros de la pareja,	ADEMÁS HIJO CUIDAR MUY-CARO, PARA MANTENER BIEN, DEBER 2 PAREJA, DOS, HOMBRE, MUJER, TRABAJAR DOS.
Además, el cuidado de los hijos es muy caro, para mantenerlos bien los dos de la pareja, el hombre y la mujer, deben trabajar los dos.	ADEMÁS HIJO CUIDAR MUY-CARO, PARA MANTENER BIEN, DEBER 2 PAREJA, DOS, HOMBRE, MUJER, TRABAJAR DOS.
lo que muchas veces hace difícil que haya una conciliación entre trabajo y familia.	ENTONCES, MUCHAS-VECES PROBLEMA QUÉ?, TRABAJO, FAMILIA UNIR BIEN PROBLEMA.
Entonces, muchas veces existe el problema de unir bien familia y trabajo.	ENTONCES, MUCHAS-VECES PROBLEMA QUÉ?, TRABAJO, FAMILIA UNIR BIEN PROBLEMA.
Mientras que en España el peso de los hijos repercuta más sobre la mujer no se podrá esperar un aumento de la fecundidad.	ENTONCES, ESPAÑA EN-ESTE-MOMENTO HIJO RESPONSABLE MÁS QUIÉN? MUJER+, POSIBLE FUTURO MUJER NACIMIENTO++ CRECER NO.
En España, en la actualidad, son las mujeres las máximas responsables de los hijos, puede que en el futuro la natalidad no crezca.	ENTONCES, ESPAÑA EN-ESTE-MOMENTO HIJO RESPONSABLE MÁS QUIÉN? MUJER+, POSIBLE FUTURO MUJER NACIMIENTO++ CRECER NO.
El año pasado, unas treinta mujeres murieron en España a manos de sus maridos. 	AÑO PASADO EN-TOTAL 3 0 MUJER+ MUERTO MOTIVO HOMBRE MARIDO SU MATAR+.
El año pasado, en total, murieron 30 mujeres asesinadas por sus maridos.	AÑO PASADO EN-TOTAL 3 0 MUJER+ MUERTO MOTIVO HOMBRE MARIDO SU MATAR+.
Además, se tramitaron más de 16000 denuncias por malos tratos de hombres a sus parejas.	ADEMÁS, EN-TOTAL 1 6 0 0 0 DENUNCIA MUJER DENUNCIA MARIDO PAREJA SU.
Además, en total, hubo 16000 denuncias de mujeres a sus maridos o parejas.	ADEMÁS, EN-TOTAL 1 6 0 0 0 DENUNCIA MUJER DENUNCIA MARIDO PAREJA SU.
Sin embargo, los especialistas dicen que se dan muchas más agresiones a las mujeres de las que se denuncian.	PERO, PERSONA+ AUTORIDAD++ DECIR NORMALMENTE MATAR, MALTRATO MÁS, DENUNCIA MENOS.
Pero, las autoridades dicen que, normalmente hay más asesinatos, maltratos que denuncias.	PERO, PERSONA+ AUTORIDAD++ DECIR NORMALMENTE MATAR, MALTRATO MÁS, DENUNCIA MENOS.
Los españoles han visto en diez días dos casos terribles.  	PERSONA+ ESPAÑA VIVIR EN-TOTAL DESDE-HACE-TIEMPO-HASTA-AHORA 10 DÍA 2 EJEMPLO HORRIBLE.
Los españoles en diez días han visto dos ejemplos horribles.  	PERSONA+ ESPAÑA VIVIR EN-TOTAL DESDE-HACE-TIEMPO-HASTA-AHORA 10 DÍA 2 EJEMPLO HORRIBLE.
En uno de ellos, una mujer moría a manos de su ex-novio, un preso peligroso en libertad.  	UN MUJER MUERTO MOTIVO EX NOVIO ANTES HOMBRE DENTRO CÁRCEL, AHORA LIBRE.
Una mujer asesinada por su ex-novio que antes estaba en la cárcel y ahora estaba libre.  	UN MUJER MUERTO MOTIVO EX NOVIO ANTES HOMBRE DENTRO CÁRCEL, AHORA LIBRE.
La mujer había realizado ya muchas denuncias por malos tratos.	ESA MUJER MUCHAS-VECES ANTES DENUNCIA+ MOTIVO MALTRATO.
Esa mujer había denunciado muchas veces antes el maltrato.  	ESA MUJER MUCHAS-VECES ANTES DENUNCIA+ MOTIVO MALTRATO.
En el otro caso, el marido arrojó a su mujer por el balcón de un séptimo piso.  	OTRO SEGUNDO MARIDO HOMBRE SABER BALCÓN SÉPTIMO-PISO TIRAR.
En el segundo, el marido la tiró desde el balcón de un séptimo piso.  	OTRO SEGUNDO MARIDO HOMBRE SABER BALCÓN SÉPTIMO-PISO TIRAR.
Ante esto, muchas personas nos preguntamos por qué suceden estos crueles actos de violencia.  	ENTONCES, MUCHAS-VECES PERSONA PENSAR, VER PORQUÉ TEMA MALTRATO PORQUÉ.
Entonces, muchas veces las personas piensan porqué se da el tema del maltrato, porqué.	ENTONCES, MUCHAS-VECES PERSONA PENSAR, VER PORQUÉ TEMA MALTRATO PORQUÉ.
A pesar de los datos anteriores, no podemos decir que el número de malos tratos haya aumentado en nuestra época;	ANTES DATO++ DECIR EN-TOTAL NÚMERO MALTRATO AHORA MÁS-NO, NO, NO-PODER CONTAR, NO-PODER,
Los datos sobre el número total de malos tratos no son más ahora que antes, no se puede contar eso,	ANTES DATO++ DECIR EN-TOTAL NÚMERO MALTRATO AHORA MÁS NO, NO, NO-PODER CONTAR, NO-PODER,
lo que ocurre es que la sociedad es más sensible y está más informada.	QUÉ-PASA?, AHORA-MISMO SOCIEDAD SENSIBLE, ADEMÁS RECIBIR-INFORMACIÓN++ CLARA POR-ESO.
¿qué es lo que pasa?, que en la actualidad la sociedad es más sensible, además se recibe una información clara, por eso.	QUÉ-PASA?, AHORA-MISMO SOCIEDAD SENSIBLE, ADEMÁS RECIBIR-INFORMACIÓN++ CLARA POR-ESO.
Este problema se ha dado en todas las épocas, culturas y clases sociales.  	PROBLEMA MALTRATO TODOS ÉPOCA DURANTE HISTORIA DURANTE, CULTURA, ETCÉTERA, ADEMÁS GRUPO+++.
El problema del maltrato se ha dado en todas las épocas de la historia, en todas las culturas y grupos.  	PROBLEMA MALTRATO TODOS ÉPOCA DURANTE HISTORIA DURANTE, CULTURA, ETCÉTERA, ADEMÁS GRUPO+++.
No es que ahora hayan aumentado, lo que ocurre es que se denuncia más que antes.  	AHORA ESPECIAL MÁS NO, AHORA QUÉ-PASA?, DENUNCIA.
Ahora no se da especialmente más, lo que pasa ahora es que se denuncia.  	AHORA ESPECIAL MÁS NO, AHORA QUÉ-PASA?, DENUNCIA.
Ahora, la mujer que denuncia se siente más apoyada.	AHORA MUJER TOCA DENUNCIA HAY APOYO,
Ahora se apoya a la mujer que denuncia,	AHORA MUJER TOCA DENUNCIA HAY APOYO,
Antes, las mujeres que se culpaban a sí mismas de recibir malos tratos, se consideraban malas esposas.	ANTES MUJER SENTIR CULPA MÍ, SENTIR MAL, NORMALMENTE MUJER PARECER MUJER ESPOSA MALA, POR-ESO.
Antes la mujer se sentía culpable, se sentía mal, normalmente la mujer se consideraba mala esposa por eso.	ANTES MUJER SENTIR CULPA MÍ, SENTIR MAL, NORMALMENTE MUJER PARECER MUJER ESPOSA MALA, POR-ESO.
Los factores que influyen en la violencia en el hogar son múltiples.  	ENTONCES, HAY DATO+++ PARA CASA MALTRATO INFLUENCIA QUÉ? ETCÉTERA.
Hay datos que influyen en el maltrato en el hogar.  	ENTONCES, HAY DATO+++ PARA CASA MALTRATO INFLUENCIA QUÉ? ETCÉTERA.
Se sabe que aquellas personas que durante la infancia han recibido malos tratos es más probable que sean agresivas y violentas en sus familias.  	SABER TOCA PERSONA HIJO PEQUEÑO DECIR RECIBIR-MALTRATO NORMALMENTE CRECER, DESPUÉS, CRECER, FAMILIA NORMALMENTE RECIBIR-MALTRATO CAPAZ FAMILIA MALTRATAR++, CAPAZ.
Se sabe que cuando una persona es pequeña y recibe maltrato, normalmente crece y, después de crecer en una familia recibiendo maltrato es capaz de maltratar a su familia.	SABER TOCA PERSONA HIJO PEQUEÑO DECIR RECIBIR-MALTRATO NORMALMENTE CRECER, DESPUÉS, CRECER, FAMILIA NORMALMENTE RECIBIR-MALTRATO CAPAZ FAMILIA MALTRATAR++, CAPAZ.
Los malos tratos se dan en todas las clases sociales,	NORMALMENTE MALTRATO TODOS GRUPO++ SOCIEDAD TODOS IGUAL HAY.
Normalmente el maltrato se da en todos los grupos sociales por igual. 	NORMALMENTE MALTRATO TODOS GRUPO++ SOCIEDAD TODOS IGUAL HAY.
aunque se ha podido comprobar que a menores recursos económicos hay más violencia.  	DECIR DINERO POBRE, POCO, NORMALMENTE MALTRATO MÁS.
Si se es pobre, si se tiene poco dinero, normalmente se da más maltrato.	DECIR DINERO POBRE, POCO, NORMALMENTE MALTRATO MÁS.
Cuando la situación económica es buena es más fácil separarse, pero si la mujer depende económicamente del hombre y teme no tener dinero para alimentar a sus hijos es probable que aguante las agresiones.	EJEMPLO SITUACIÓN DINERO BIEN PODER FÁCIL SEPARARSE, PERO MUJER EJEMPLO HOMBRE MARIDO DEBER DINERO MANTENER++ DESPUÉS, PROBLEMA SEPARARSE, HIJO, NORMALMENTE MUJER QUÉ-HACER?, AGUANTAR MALTRATO, AGUANTAR.
Si la situación económica es buena, puede separarse fácilmente, pero si el marido debe mantener a la mujer, después está el problema de separarse, de los hijos. Normalmente, la mujer ¿qué hace?, aguanta el maltrato.	EJEMPLO SITUACIÓN DINERO BIEN PODER FÁCIL SEPARARSE, PERO MUJER EJEMPLO HOMBRE MARIDO DEBER DINERO MANTENER++ DESPUÉS, PROBLEMA SEPARARSE, HIJO, NORMALMENTE MUJER QUÉ-HACER?, AGUANTAR MALTRATO, AGUANTAR.
Por lo general, la violencia en la pareja es más frecuente entre personas jóvenes, aunque las denuncias lleguen después de varios años de matrimonio.	EN-GENERAL DENTRO PAREJA VIOLENCIA USAR MÁS JOVEN, PODER DENUNCIA DESPUÉS MATRIMONIO, DESPUÉS DENUNCIA.
En general, dentro se suele dar más maltrato en las parejas de jóvenes, pero puede que la denuncia se dé después del matrimonio.	EN-GENERAL DENTRO PAREJA VIOLENCIA USAR MÁS JOVEN, PODER DENUNCIA DESPUÉS MATRIMONIO, DESPUÉS DENUNCIA.
Los expertos afirman que los primeros malos tratos ya se manifiestan desde el noviazgo, lo que ocurre es que inmediatamente después de la agresión viene el arrepentimiento, acompañado de las promesas y de las muestras de amor, que en la mayoría de las veces hacen que la víctima perdone.	PERSONA AUTORIDAD++ DECIR MALTRATO EMPEZAR CUANDO NOVIO+ EMPEZAR MALTRATO, PERO QUÉ-PASA?, DESPUÉS MALTRATO PERSONA ARREPENTIRSE ADEMÁS PEDIR-PERDÓN, ADEMÁS PEDIR-PERDÓN, DECLARACIÓN-DE-AMOR, MUCHAS-VECES QUÉ-PASA?, MUJER PERDONAR
Las autoridades dicen que el maltrato empieza cuando son novios, pero ¿qué pasa?, después del maltrato la persona se arrepiente, pide perdón y declara su amor. Muchas veces lo que pasa es que la mujer perdona.	PERSONA AUTORIDAD++ DECIR MALTRATO EMPEZAR CUANDO NOVIO+ EMPEZAR MALTRATO, PERO QUÉ-PASA?, DESPUÉS MALTRATO PERSONA ARREPENTIRSE ADEMÁS PEDIR-PERDÓN, ADEMÁS PEDIR-PERDÓN, DECLARACIÓN-DE-AMOR, MUCHAS-VECES QUÉ-PASA?, MUJER PERDONAR
También es importante señalar que factores como el consumo de alcohol o la contaminación pueden favorecer el maltrato.  	TAMBIÉN IMPORTANTE DECIR COSAS EJEMPLO BEBIDA ALCOHOL O CONTAMINACIÓN DAR-ME FÁCIL TRASTORNAR, MALTRATO
También es importante decir que cosas como las bebidas alcohólicas o la contaminación pueden fácilmente trastornar y provocar el maltrato.	TAMBIÉN IMPORTANTE DECIR COSAS EJEMPLO BEBIDA ALCOHOL O CONTAMINACIÓN DAR-ME FÁCIL TRASTORNAR, MALTRATO
El ritmo de vida de las grandes ciudades que favorece la excitabilidad y el estrés también pueden causar una mayor violencia en el hogar.	AHORA-MISMO CIUDAD GRANDE EVOLUCIÓN DAR-ME+ FÁCIL AGRESIVIDAD ADEMÁS ESTRÉS DAR-ME++ ADEMÁS CAPAZ DENTRO CASA MALTRATO MÁS.
En la actualidad la evolución de las ciudades grandes facilita la agresividad y puede provocar estrés y puede que en el hogar haya más maltrato.  	AHORA-MISMO CIUDAD GRANDE EVOLUCIÓN DAR-ME+ FÁCIL AGRESIVIDAD ADEMÁS ESTRÉS DAR-ME++ ADEMÁS CAPAZ DENTRO CASA MALTRATO MÁS.
Aunque el hecho de que haya más denuncias en las ciudades que en los pueblos no quiere decir que en estos últimos haya un número menor de malos tratos.  	PERO AHORA-MISMO CIUDAD DENUNCIA MÁS, PUEBLO MENOS, QUERER DECIR DENTRO PUEBLO, DENTRO, MALTRATO MENOS?, NO++, DEPENDER.
Pero que en la actualidad se denuncie más en la ciudad que en los pueblos ¿quiere decir que en los pueblos hay menos maltrato? No, depende.	PERO AHORA-MISMO CIUDAD DENUNCIA MÁS, PUEBLO MENOS, QUERER DECIR DENTRO PUEBLO, DENTRO, MALTRATO MENOS?, NO++, DEPENDER.
Los datos pueden que no nos estén dando un auténtico reflejo de la realidad.  	MUCHAS-VECES DATO++ DECIR DAR-ME INFORMACIÓN REAL NO.
Muchas veces los datos no nos dan una información real.  	MUCHAS-VECES DATO++ DECIR DAR-ME INFORMACIÓN REAL NO.
En las grandes ciudades la mujer puede hacer la denuncia sin que se sepa.  	CIUDAD GRANDE MUJER IR DENUNCIAR, SECRETO, DIVULGAR NO-HAY.
En las ciudades grandes la mujer va a denunciar y hay secreto, no se divulga.  	CIUDAD GRANDE MUJER IR DENUNCIAR, SECRETO, DIVULGAR NO-HAY.
En los pueblos y las ciudades pequeñas le puede costar más ir a un centro de salud o a la policía, 	PERO PUEBLO O CIUDAD PEQUEÑA COSTAR IR CENTRO SALUD O POLICIA, IR COSTAR
Pero en los pueblos o en las ciudades pequeñas cuesta ir al centro de salud o a la policía	PERO PUEBLO O CIUDAD PEQUEÑA COSTAR IR CENTRO SALUD O POLICIA, IR COSTAR
porque es probable que la conozcan a ella, a su marido, a la familia de ambos, etc.  	PORQUE POSIBLE CONOCER PERSONA MUJER O HOMBRE MARIDO O FAMILIA LOS-DOS, POSIBLE, ETCÉTERA.
porque es posible que conozcan a la mujer o al marido o a la familia de ambos, etcétera.	PORQUE POSIBLE CONOCER PERSONA MUJER O HOMBRE MARIDO O FAMILIA LOS-DOS, POSIBLE, ETCÉTERA.
Te voy a contar un día en la vida de mi hermana.  	YO CONTAR VIDA MI HERMANO-MUJER. YO CONTAR UN DÍA COMPLETO.
Te voy a contar la vida de mi hermana. Te voy a contar un día completo.	YO CONTAR VIDA MI HERMANO-MUJER. YO CONTAR UN DÍA COMPLETO.
Mi hermana se llama Ana y tiene 5 años.  	ELLA NOMBRE \dl{ANA}, EDAD CINCO.
Ella se llama Ana. Tiene cinco años.	ELLA NOMBRE \dl{ANA}, EDAD CINCO.
Por la mañana, Ana se despierta a las 8.30.  	POR-LA-MAÑANA DESPERTARSE HORA OCHO Y-MEDIA.
Por la mañana se despierta a las ocho y media.  	POR-LA-MAÑANA DESPERTARSE HORA OCHO Y-MEDIA.
Ella nunca se levanta sola, porque es muy dormilona.	ELLA LEVANTARSE SOLO NUNCA PORQUE+ ENCANTAR DORMIR.
Ella nunca se levanta sola porque le encanta dormir.  	ELLA LEVANTARSE SOLO NUNCA PORQUE+ ENCANTAR DORMIR.
Cuando suena el despertador, ella nunca lo oye.  	TOCA DESPERTADOR ESCUCHAR PASAR+,
No oye el despertador.  	TOCA DESPERTADOR ESCUCHAR PASAR+,
Yo la despierto para que se lave antes de desayunar.  	YO LLAMAR A-ELLA PARA LAVARSE ANTES DESAYUNO.
Yo la llamo para que se lave antes de desayunar.  	YO LLAMAR A-ELLA PARA LAVARSE ANTES DESAYUNO.
Si hace mucho frío, le llevo la bata a la cama.	EJEMPLO FRÍO YO LLEVAR BATA CAMA LLEVAR,
Si hace frío le llevo la bata a la cama.	EJEMPLO FRÍO YO LLEVAR BATA CAMA LLEVAR,
Es una bata rosa con un oso dibujado en el bolsillo.  	COLOR ROSA, BOLSILLO OSO DIBUJO \cl{dibujo sobre el bolsillo}.
Es de color rosa. Tiene un dibujo de un oso en el bolsillo.  	COLOR ROSA, BOLSILLO OSO DIBUJO \cl{dibujo sobre el bolsillo}.
A Ana le gusta mucho su bata.  	ELLA \name{ANA} ENCANTAR BATA.
A Ana le encanta la bata.  	ELLA \name{ANA} ENCANTAR BATA.
Después de salir del baño, desayunamos.  	FIN SERVICIO, FIN, LOS-DOS DESAYUNAR.
Cuando termina en el servicio, las dos vamos a desayunar.  	FIN SERVICIO, FIN, NOSOTROS 2 DESAYUNAR.
A Ana le gusta desayunar despacio.  	ELLA \name{ANA} ENCANTAR DESPACIO DESAYUNAR DESPACIO,
